yx,yy,yz,yaw,pitch
-0.241086,0.573767,-0.782593,-22.79122134,51.50642788
-0.020101,0.609301,-0.766486,-1.889517521,51.50265624
-0.128055,0.612037,-0.783748,-11.81738358,51.41643418
-0.350691,0.51215,-0.777603,-34.40111017,51.4018721
0.131859,0.611228,-0.783025,12.17374315,51.39068481
0.0689019,0.62045,-0.781225,6.336817621,51.37222089
0.0689019,0.62045,-0.781225,6.336817621,51.37222089
-0.113176,0.617876,-0.786051,-10.37977243,51.37065521
0.0558255,0.622887,-0.780254,5.121382367,51.28737552
0.0558255,0.622887,-0.780254,5.121382367,51.28737552
0.0614798,0.623316,-0.779504,5.633059686,51.21771276
0.0614798,0.623316,-0.779504,5.633059686,51.21771276
0.525018,0.282386,-0.741596,61.72598506,51.20544839
0.525018,0.282386,-0.741596,61.72598506,51.20544839
-0.376631,0.500044,-0.775845,-36.98690277,51.10057657
-0.318501,0.541783,-0.776901,-30.450231,51.02915446
-0.562925,0.282411,-0.772584,-63.35776851,50.81381348
0.0836724,0.626478,-0.775027,7.607403034,50.80247088
0.0836724,0.626478,-0.775027,7.607403034,50.80247088
-0.509399,0.380968,-0.77985,-53.20801592,50.79689184
-0.586076,0.0520607,-0.720242,-84.9237816,50.7537538
-0.586076,0.0520607,-0.720242,-84.9237816,50.7537538
-0.586076,0.0520607,-0.720242,-84.9237816,50.7537538
-0.393852,0.488991,-0.768379,-38.84929411,50.74612452
0.0108351,0.632908,-0.774046,0.98078214,50.72432439
0.198966,0.597719,-0.770086,18.41133591,50.71530442
0.198966,0.597719,-0.770086,18.41133591,50.71530442
